month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
2003-06,23.2,12,50.3,36,78.5,7.0,28.9,32.7,26.0
2003-07,30.9,14,170.4,54,81.7,5.6,28.1,31.5,25.1
2003-08,64.4,13,193.6,48,83.1,6.1,28.2,31.8,25.5
2003-09,60.0,15,205.3,46,84.8,5.0,27.6,31.2,24.8
2003-10,56.6,21,351.4,54,84.9,5.1,27.6,31.1,24.5
2003-11,41.3,19,133.8,56,87.3,4.2,27.1,31.0,24.7
2003-12,92.1,17,273.0,60,87.2,3.9,26.5,29.9,24.3
2004-01,177.8,13,600.9,57,86.7,6.7,26.9,30.6,24.2
2004-02,19.2,4,31.9,51,80.5,7.7,27.6,32.0,24.7
2004-03,122.8,16,269.4,56,85.8,4.8,27.7,32.2,24.7
2004-04,18.1,9,57.1,46,82.3,7.0,28.9,33.3,26.1
2004-05,73.4,13,137.6,51,82.1,6.0,28.9,32.8,26.4
2004-06,68.1,8,127.2,49,79.8,6.3,29.0,32.4,26.1
2004-07,34.3,20,166.6,56,85.3,4.2,27.3,30.8,24.5
2004-08,111.5,8,185.2,47,80.3,7.3,28.3,31.7,25.4
2004-09,29.1,14,128.9,50,83.6,5.9,27.8,31.7,25.0
2004-10,25.3,13,125.6,43,83.9,5.0,27.8,31.6,25.0
2004-11,62.4,15,166.2,56,86.1,5.8,27.3,31.4,24.6
2004-12,36.4,14,139.8,58,85.2,4.9,26.8,30.1,24.5
2005-01,96.7,8,163.2,49,83.3,6.5,26.6,30.2,23.9
2005-02,7.2,3,8.4,45,77.7,9.1,28.5,33.4,25.3
2005-03,20.5,12,82.4,47,80.3,7.2,28.5,33.3,25.4
2005-04,49.6,10,81.7,42,81.0,7.0,28.7,33.0,25.7
2005-05,58.7,20,331.1,47,84.6,5.5,28.5,32.4,25.2
2005-06,27.6,15,82.3,50,82.7,5.4,28.8,32.0,26.1
2005-07,26.3,15,104.0,53,84.0,5.4,28.0,31.4,25.2
2005-08,13.8,13,58.5,54,82.9,6.5,28.2,31.5,25.5
2005-09,43.4,18,175.7,53,84.2,6.2,28.2,32.0,25.2
2005-10,76.2,19,314.5,57,85.2,5.1,27.6,31.3,24.7
2005-11,133.8,23,362.9,56,86.4,4.4,27.3,30.8,24.4
2005-12,47.3,19,166.0,55,85.6,4.5,27.3,31.0,24.6
2006-01,131.7,20,454.4,56,87.8,4.8,26.5,30.0,24.1
2006-02,44.5,8,115.5,58,84.0,7.4,27.5,31.5,24.8
2006-03,35.7,9,83.1,48,81.3,7.1,28.3,33.1,25.2
2006-04,43.3,18,239.8,53,87.0,5.3,27.6,32.1,24.8
2006-05,36.6,14,205.7,52,85.2,5.0,28.1,32.0,25.4
2006-06,37.3,16,236.8,59,86.3,5.5,27.8,31.0,25.1
2006-07,54.8,15,153.8,58,83.8,6.9,28.4,31.5,25.7
2006-08,30.4,14,127.3,52,81.9,6.7,28.3,31.5,25.5
2006-09,32.2,12,83.3,49,81.0,5.3,28.0,31.4,25.4
2006-10,37.8,8,102.0,44,80.9,4.8,28.3,32.2,25.4
2006-11,64.0,18,185.6,59,87.4,5.6,27.3,31.4,24.5
2006-12,198.0,22,765.9,54,88.5,3.2,26.6,30.0,24.3
2007-01,143.8,20,450.1,55,86.8,4.1,26.5,29.8,24.2
2007-02,51.4,3,105.5,51,82.5,7.6,27.3,31.5,24.5
2007-03,68.8,21,269.1,47,84.9,5.8,27.5,31.5,24.6
2007-04,102.4,14,240.2,50,84.7,5.9,28.1,32.0,25.2
2007-05,21.9,16,127.2,60,84.8,5.5,28.3,31.6,25.3
2007-06,38.0,12,139.0,50,82.8,6.0,28.4,32.1,25.4
2007-07,23.0,19,141.7,57,84.8,3.8,27.7,30.6,25.1
2007-08,55.9,20,190.7,58,82.9,5.7,27.7,30.9,25.0
2007-09,52.1,13,149.0,53,83.3,5.8,27.8,31.0,25.0
2007-10,51.8,16,237.2,49,83.2,5.6,27.8,31.6,24.9
2007-11,60.1,21,367.9,55,86.5,3.5,26.9,30.8,24.0
2007-12,159.0,20,468.6,49,86.8,4.5,26.4,30.1,24.1
2008-01,123.1,19,262.6,55,86.0,6.1,26.8,30.7,24.3
2008-02,48.5,8,129.2,49,82.9,5.5,26.7,30.9,24.0
2008-03,48.1,16,294.1,61,87.1,4.3,26.5,30.1,24.0
2008-04,34.2,13,87.2,56,82.0,6.0,28.1,31.9,25.1
2008-05,42.3,11,124.9,47,79.1,6.6,28.8,32.2,26.0
2008-06,45.2,12,118.3,54,81.5,5.6,28.2,31.4,25.3
2008-07,23.5,15,89.1,52,81.3,4.9,27.8,30.8,25.1
2008-08,133.9,18,327.3,55,83.8,5.5,27.4,30.9,24.7
2008-09,43.5,18,164.4,52,82.7,5.1,27.7,31.1,24.6
2008-10,41.6,19,159.5,58,84.9,4.5,27.6,31.4,25.0
2008-11,63.3,16,324.3,58,85.9,4.0,27.3,31.2,24.5
2008-12,52.0,17,244.2,52,83.7,4.8,26.9,30.5,24.3
2009-01,36.0,5,38.3,50,79.1,6.6,26.8,30.7,24.2
2009-02,74.2,8,201.8,42,80.7,6.4,27.3,32.3,24.2
2009-03,56.3,19,223.3,54,85.4,5.5,27.2,31.4,24.1
2009-04,86.6,12,183.7,48,82.2,6.2,28.5,32.3,25.4
2009-05,41.3,17,198.6,52,83.0,6.6,28.7,32.2,25.3
2009-06,5.8,8,21.8,53,79.8,7.0,29.1,32.6,26.2
2009-07,24.4,16,161.0,56,80.8,6.2,28.3,31.7,25.3
2009-08,35.5,12,177.8,51,80.7,6.5,28.3,31.7,25.6
2009-09,63.0,13,109.6,53,82.0,5.6,28.3,31.7,25.5
2009-10,38.4,15,133.4,49,82.8,5.4,28.2,32.1,25.2
2009-11,61.4,23,281.8,51,85.6,4.7,27.2,31.5,24.8
2009-12,42.6,18,189.8,61,86.3,4.7,27.1,30.7,24.6
2010-01,24.5,10,69.5,50,82.1,7.1,27.5,31.2,24.4
2010-02,2.9,4,6.3,47,77.3,8.8,28.9,33.5,25.5
2010-03,57.6,11,238.0,46,79.9,6.1,28.6,33.1,25.1
2010-04,40.0,18,158.5,55,84.1,6.2,28.6,32.8,25.0
2010-05,90.5,17,157.5,50,82.2,6.5,29.2,33.2,25.9
2010-06,43.0,19,240.5,55,83.9,5.1,28.3,31.4,25.2
2010-07,121.1,18,298.5,48,84.8,4.6,27.7,30.9,24.6
2010-08,60.2,16,158.4,50,84.2,5.4,27.9,31.2,24.6
2010-09,28.0,13,121.5,50,82.5,5.7,28.0,31.8,24.9
2010-10,58.1,17,166.2,43,82.3,4.2,28.3,31.7,25.1
2010-11,41.6,21,278.8,52,85.9,5.0,27.4,31.6,24.2
2010-12,85.8,14,181.4,54,85.3,3.6,26.8,30.8,23.9
2011-01,216.2,17,513.2,57,85.8,4.5,26.3,29.7,23.5
2011-02,17.4,8,23.0,41,81.1,7.5,27.3,31.7,24.1
2011-03,54.0,22,256.6,47,85.5,4.6,27.1,31.3,23.9
2011-04,61.8,12,217.8,55,83.9,7.2,27.9,31.9,24.6
2011-05,34.2,15,127.0,46,85.3,5.9,28.5,32.4,25.2
2011-06,82.0,15,213.0,56,83.7,5.0,28.4,31.3,25.2
2011-07,30.0,7,76.6,59,81.3,7.8,28.7,31.9,25.5
2011-08,30.2,13,81.4,52,82.6,6.1,27.9,31.0,25.6
2011-09,40.4,14,136.4,51,82.7,5.1,27.8,30.9,25.1
2011-10,54.0,20,216.8,55,87.4,5.3,27.3,31.0,24.7
2011-11,78.6,24,377.8,55,87.8,4.6,27.1,31.1,24.6
2011-12,87.4,21,284.6,57,88.4,3.3,26.6,29.9,24.5
2012-01,26.2,16,106.1,59,87.3,6.0,26.7,30.6,24.3
2012-02,38.4,11,83.6,55,85.6,7.0,27.2,31.1,24.8
2012-03,92.3,21,313.4,58,87.3,4.2,27.0,31.1,24.4
2012-04,48.4,20,260.6,54,85.1,5.8,27.6,31.4,24.8
2012-05,79.2,19,292.0,52,83.1,5.6,28.2,31.7,24.8
2012-06,38.2,8,53.0,49,79.0,6.0,28.7,31.6,26.3
2012-07,35.4,17,130.8,48,81.1,6.2,27.7,30.8,25.3
2012-08,31.0,12,119.0,54,79.8,6.1,27.9,31.0,25.4
2012-09,35.8,10,107.6,49,79.7,5.6,27.9,31.3,25.3
2012-10,22.6,13,122.2,51,81.3,5.9,27.7,31.7,25.2
2012-11,49.2,22,208.2,51,85.4,4.4,27.1,31.4,24.7
2012-12,78.8,22,363.4,61,87.0,3.6,26.7,30.6,24.4
2013-01,73.0,15,262.0,42,82.1,6.0,27.1,30.8,24.6
2013-02,95.2,22,395.2,54,86.9,4.0,26.5,30.1,24.3
2013-03,29.6,10,85.8,48,80.4,7.5,28.3,32.4,25.6
2013-04,41.6,19,159.4,46,82.7,5.2,28.2,32.1,25.3
2013-05,46.2,17,211.4,45,83.1,5.4,28.2,31.8,25.6
2013-06,22.4,12,111.4,36,74.6,6.4,29.0,32.6,25.9
2013-07,37.4,15,174.6,43,79.9,5.7,27.8,31.1,25.2
2013-08,43.2,15,165.6,50,79.0,6.1,27.9,31.0,25.1
2013-09,52.6,19,257.0,48,81.3,4.6,27.5,30.6,24.8
2013-10,139.8,19,285.4,42,79.9,6.3,27.7,31.4,24.6
2013-11,44.0,22,292.4,51,84.6,4.5,27.1,31.3,24.5
2013-12,119.8,21,348.2,45,85.8,3.5,26.5,30.2,24.1
2014-01,31.2,5,75.4,49,78.5,5.3,26.2,29.6,24.0
2014-02,0.2,1,0.2,43,74.5,8.8,27.2,31.9,24.5
2014-03,52.6,6,66.0,38,76.0,8.0,27.9,32.8,25.1
2014-04,28.8,17,110.0,44,80.0,5.7,28.2,32.4,25.5
2014-05,22.2,18,125.8,48,80.2,5.8,28.6,32.1,25.8
2014-06,18.8,11,71.4,45,77.5,6.0,29.0,32.1,26.3
2014-07,29.0,15,148.6,53,78.3,5.5,28.7,31.6,25.8
2014-08,44.2,20,241.0,53,79.7,4.5,27.7,30.4,25.2
2014-09,34.6,9,83.6,37,75.6,7.0,28.5,31.8,25.7
2014-10,32.8,10,120.0,40,77.0,6.0,28.4,32.1,25.7
2014-11,64.4,23,250.8,53,82.4,5.4,27.5,31.6,24.8
2014-12,48.2,17,245.6,51,82.6,3.7,27.0,30.6,24.7
2015-01,33.6,6,79.6,49,77.6,7.4,26.9,30.7,24.6
2015-02,10.8,6,18.8,49,75.4,7.3,27.0,31.3,24.4
2015-03,46.0,5,84.4,47,75.8,7.3,28.2,32.5,25.5
2015-04,18.8,13,73.2,48,77.1,7.2,28.6,33.2,25.9
2015-05,22.2,12,89.0,46,78.9,5.8,28.7,32.2,26.4
2015-06,28.4,10,95.8,42,75.8,6.7,29.0,32.0,26.6
2015-07,45.8,13,116.8,51,74.9,7.1,29.1,31.9,26.7
2015-08,63.2,11,185.8,40,76.7,6.1,28.4,31.2,26.0
2015-09,18.4,8,61.6,40,75.0,4.3,28.7,31.7,26.5
2015-10,28.6,9,87.2,35,75.4,4.7,28.7,32.2,26.1
2015-11,25.8,13,72.6,47,79.1,4.8,28.0,32.1,25.5
2015-12,40.4,19,302.3,49,81.1,5.3,27.7,31.5,25.0
2016-01,39.6,15,126.6,55,79.6,7.2,28.3,31.8,26.0
2016-02,71.8,10,186.0,55,78.8,6.5,27.8,31.1,25.6
2016-03,2.4,6,6.2,47,74.7,8.0,29.0,33.1,26.6
2016-04,18.2,14,89.8,46,75.6,7.0,29.4,33.4,26.7
2016-05,54.8,12,193.8,48,77.4,6.2,29.3,33.0,26.5
2016-06,67.8,13,162.8,45,77.7,5.4,28.5,31.6,26.1
2016-07,59.4,20,168.6,48,77.3,6.3,28.4,31.7,25.8
2016-08,30.6,15,139.2,41,74.0,6.7,28.9,31.8,26.2
2016-09,34.0,15,118.9,33,73.9,5.5,28.3,32.0,25.1
2016-10,75.4,16,181.0,38,72.0,4.6,28.3,32.1,25.2
2016-11,65.6,20,290.2,46,77.6,3.5,27.4,30.7,24.9
2016-12,73.0,23,292.6,34,72.8,5.1,27.4,31.6,24.7
2017-01,60.6,21,197.6,44,84.8,4.8,26.9,30.7,24.7
2017-02,31.0,15,158.4,59,83.2,7.1,26.9,30.7,24.7
2017-03,30.2,11,136.2,52,82.5,6.1,27.4,31.1,24.9
2017-04,42.8,21,208.6,50,83.5,5.3,27.8,31.8,25.0
2017-05,44.8,15,190.0,57,82.8,5.9,28.5,31.4,25.9
2017-06,29.6,10,106.0,51,80.2,6.3,28.5,31.6,25.9
2017-07,30.2,9,79.6,57,79.6,7.0,28.3,31.0,26.0
2017-08,29.4,18,84.2,54,79.9,6.1,28.1,31.0,25.9
2017-09,20.2,19,124.4,55,81.0,5.7,28.0,31.2,25.4
2017-10,31.2,18,120.8,45,82.5,5.5,27.9,31.6,25.3
2017-11,45.2,24,268.6,60,86.3,4.2,27.1,30.8,24.6
2017-12,69.8,23,371.2,51,85.2,5.6,27.0,30.8,24.6
2018-01,45.8,25,287.0,44,86.6,4.1,26.1,29.8,24.0
2018-02,13.0,5,14.8,49,77.2,8.0,27.2,31.2,24.8
2018-03,15.2,10,44.6,49,78.4,6.4,28.0,32.4,25.4
2018-04,14.0,14,61.2,39,78.5,6.8,28.5,33.2,25.8
2018-05,47.4,19,132.2,43,79.0,5.8,28.7,32.4,26.2
2018-06,46.8,17,182.6,51,79.3,4.1,28.4,31.3,25.6
2018-07,32.4,10,143.2,50,77.7,6.1,28.5,31.3,26.0
2018-08,34.6,11,121.6,39,77.0,6.7,28.5,31.7,26.1
2018-09,45.0,13,144.4,48,77.1,6.0,28.0,31.2,25.3
2018-10,60.6,18,234.4,33,79.7,6.1,27.9,31.9,25.2
2018-11,20.6,27,169.6,53,83.2,3.8,27.3,31.0,24.6
2018-12,43.8,19,172.6,47,81.5,5.1,27.6,31.6,25.3
2019-01,38.2,9,63.6,47,75.6,7.1,28.0,31.7,25.6
2019-02,13.4,5,31.6,46,74.1,9.2,28.2,32.8,25.4
2019-03,29.0,6,72.2,40,72.3,8.3,28.7,33.5,25.6
2019-04,52.4,9,174.8,48,77.6,5.9,28.6,32.7,25.9
2019-05,17.2,13,69.0,52,79.2,7.0,29.3,32.7,26.5
2019-06,37.6,16,173.8,47,79.5,5.3,28.4,31.3,26.1
2019-07,6.6,8,12.2,45,75.2,7.5,29.0,32.1,26.9
2019-08,3.8,6,11.8,35,72.1,7.6,29.1,32.7,27.1
2019-09,16.4,4,22.8,37,73.0,6.7,29.0,33.0,26.6
2019-10,92.2,15,176.8,38,78.1,6.5,28.1,32.7,25.3
2019-11,73.4,15,137.4,45,79.2,5.5,28.0,32.3,25.4
2019-12,74.2,14,421.5,47,83.9,4.8,26.7,30.1,24.6
2020-01,38.0,6,88.4,43,77.9,7.1,27.7,31.7,25.2
2020-02,23.8,8,65.0,45,76.0,8.3,27.9,31.7,25.3
2020-03,47.4,8,108.8,44,75.2,7.6,28.6,32.9,25.9
2020-04,51.8,12,188.0,46,76.4,7.1,28.9,33.0,26.0
2020-05,53.8,16,255.6,50,79.1,5.7,28.9,32.2,26.1
2020-06,41.0,21,233.8,53,80.2,4.3,28.1,31.0,25.5
2020-07,30.4,22,140.8,53,78.2,5.7,27.9,31.0,25.5
2020-08,34.6,12,103.4,41,76.8,6.4,28.3,31.4,25.9
2020-09,32.8,18,150.2,48,79.0,4.8,27.5,31.0,24.9
2020-10,19.0,16,78.8,44,75.4,4.3,28.3,31.6,25.6
2020-11,64.2,19,220.6,49,81.7,4.0,27.2,31.0,25.0
2020-12,58.2,20,253.2,49,81.1,5.2,27.2,31.5,24.5
2021-01,210.6,17,692.8,55,82.6,4.2,26.0,29.1,23.8
2021-02,0.6,2,1.0,46,73.8,8.2,27.3,31.6,24.8
2021-03,38.0,14,182.4,42,76.6,7.3,27.9,32.8,25.0
2021-04,83.8,14,290.4,43,77.4,6.8,28.2,32.4,25.3
2021-05,49.8,13,245.8,49,79.3,6.0,28.7,32.1,26.0
2021-06,23.8,20,93.4,42,77.8,6.5,28.5,32.1,25.6
2021-07,75.0,12,195.8,48,76.5,6.8,28.6,31.8,26.2
2021-08,71.4,24,293.6,51,80.4,4.8,27.6,31.0,24.8
2021-09,63.4,14,205.4,45,77.3,6.4,28.3,31.7,25.6
2021-10,59.6,14,177.0,45,78.3,6.2,28.5,32.2,25.8
2021-11,47.8,23,312.4,41,81.7,4.9,27.6,31.8,24.8
2021-12,46.8,15,119.6,47,79.7,5.4,27.7,31.4,25.4
2022-01,50.0,9,99.8,49,77.4,8.3,27.4,31.6,24.9
2022-02,29.6,16,175.0,51,80.3,5.9,27.3,31.2,24.8
2022-03,36.2,21,163.2,48,79.2,6.4,28.1,32.7,25.1
2022-04,58.8,18,239.6,51,80.0,5.2,28.1,32.1,25.1
2022-05,44.6,12,102.0,41,76.5,6.7,29.2,32.9,26.2
2022-06,59.4,17,211.8,54,79.1,4.7,27.9,31.1,25.3
2022-07,27.8,16,145.2,53,76.8,6.2,28.6,31.7,25.8
2022-08,32.4,15,141.4,50,77.4,5.5,28.1,31.2,25.8
2022-09,38.2,14,121.0,52,76.9,3.8,27.9,31.1,25.4
2022-10,38.8,27,279.0,47,78.7,3.5,27.6,31.5,24.7
2022-11,53.0,26,313.8,46,79.9,3.8,27.4,31.4,24.4
2022-12,37.0,19,215.4,52,81.2,3.6,26.8,30.3,24.5
2023-01,72.0,22,302.6,43,81.9,4.4,26.5,30.1,24.5
2023-02,154.8,13,324.4,50,79.4,5.1,26.9,31.0,24.5
2023-03,90.2,12,243.4,52,79.2,6.0,27.1,30.9,24.6
2023-04,85.8,19,222.8,57,77.4,5.8,28.5,32.6,25.8
2023-05,34.6,11,112.8,43,73.7,6.6,29.5,32.9,26.7
2023-06,51.6,15,228.4,41,75.1,6.3,29.0,32.1,26.1
2023-07,51.4,14,158.0,42,75.1,5.8,28.7,31.7,26.5
2023-08,24.4,12,114.0,48,74.6,6.6,28.7,31.9,26.2
2023-09,47.8,10,133.0,42,73.6,5.7,28.7,32.3,26.3
2023-10,38.4,10,96.6,37,73.5,7.2,29.0,33.3,26.2
2023-11,71.4,19,219.0,41,79.1,4.6,27.9,32.5,25.5
2023-12,57.6,23,256.2,52,82.7,3.6,27.3,31.1,25.1
2024-01,80.6,21,499.6,53,83.7,4.3,26.8,30.4,24.6
2024-02,16.2,10,60.2,47,75.8,7.9,28.2,32.2,25.8
2024-03,49.8,9,161.2,40,74.2,7.1,28.8,33.2,26.1
2024-04,79.2,15,204.8,43,75.6,6.3,29.4,33.3,26.7
2024-05,85.4,23,226.4,44,77.7,4.9,29.1,32.4,26.5
2024-06,80.2,18,245.4,48,76.6,4.8,28.7,31.9,25.9
2024-07,11.2,9,36.8,49,72.7,6.8,29.3,32.3,27.1
2024-08,32.4,17,85.8,50,77.1,5.2,28.7,31.9,26.2
2024-09,30.6,18,122.4,48,77.6,5.9,28.7,32.3,25.9
2024-10,66.0,15,147.6,41,78.9,5.0,28.5,32.1,25.8
2024-11,71.2,24,407.4,53,84.5,4.3,27.4,31.6,25.0
2024-12,76.8,23,234.4,41,80.7,4.6,27.7,31.7,25.3
2025-01,157.0,18,480.2,54,83.4,3.6,26.5,29.5,24.6
2025-02,34.4,7,73.8,51,78.9,7.0,27.3,31.2,24.9
